PLAYER_ID, PLAYER_NAME, TEAM_ID, TEAM_ABBREVIATION, AGE, GP, W, L, W_PCT, MIN, DEF_RATING, DREB, DREB_PCT, PCT_DREB, STL, PCT_STL, BLK, PCT_BLK, OPP_PTS_OFF_TOV, OPP_PTS_2ND_CHANCE, OPP_PTS_FB, OPP_PTS_PAINT, DEF_WS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, DEF_RATING_RANK, DREB_RANK, DREB_PCT_RANK, PCT_DREB_RANK, STL_RANK, PCT_STL_RANK, BLK_RANK, PCT_BLK_RANK, OPP_PTS_OFF_TOV_RANK, OPP_PTS_2ND_CHANCE_RANK, OPP_PTS_FB_RANK, OPP_PTS_PAINT_RANK, DEF_WS_RANK, CFPARAMS
201985, AJ Price,1610612750, MIN,27,28,15,13,0.536,3.5,95.1,0.3,0.081,0.101,0,0.071,0,0,0.7,0.7,1.1,2.3,0.007,376,345,102,212,472,23,471,427,444,457,448,436,436,8,12,19,10,405,201985
201166, Aaron Brooks,1610612743, DEN,29,72,42,30,0.583,21.6,106.6,1.3,0.069,0.091,0.7,0.233,0.2,0.088,8.1,5.9,6.3,20.1,0.015,154,107,279,165,205,324,367,459,459,173,135,291,302,298,263,294,283,272,201166
201189, Aaron Gray,1610612758, SAC,29,37,12,25,0.324,9.6,110,1.9,0.226,0.297,0.3,0.222,0.2,0.348,3.8,2.2,4.6,9.1,0.003,347,375,221,395,393,436,293,56,60,382,157,261,94,101,65,197,103,445,201189
203519, Adonis Thomas,1610612755, PHI,21,6,2,4,0.333,6.3,94.9,0.5,0.091,0.107,0,0,0,0,2.8,0.8,1,5,0.013,450,444,31,379,448,22,456,392,430,458,458,436,436,55,15,13,34,323,203519
1733, Al Harrington,1610612764, WAS,34,34,20,14,0.588,15,102.5,1.9,0.157,0.21,0.4,0.189,0,0,5.9,4.4,4.1,13.5,0.018,355,297,109,157,313,181,287,193,198,311,240,436,436,200,188,167,183,223,1733
201143, Al Horford,1610612737, ATL,28,29,16,13,0.552,33,100.7,6.1,0.212,0.277,0.9,0.153,1.5,0.478,10.2,8.8,6.7,29.2,0.048,372,332,102,194,54,101,27,77,87,99,330,15,53,380,418,307,423,27,201143
2744, Al Jefferson,1610612766, CHA,29,73,38,35,0.521,35,101.5,8.7,0.281,0.357,0.9,0.218,1.1,0.341,9.5,8.7,7.2,28.5,0.047,136,135,344,222,33,135,4,19,25,104,169,39,101,348,411,339,415,30,2744
202329, Al-Farouq Aminu,1610612740, NOP,23,80,33,47,0.413,25.6,107.5,4.6,0.213,0.287,1,0.239,0.5,0.14,8.3,7.1,7.5,24.7,0.015,52,167,433,309,162,362,59,74,76,76,125,137,239,307,331,351,354,267,202329
101187, Alan Anderson,1610612751, BKN,31,78,43,35,0.551,22.7,103.6,1.7,0.089,0.125,0.6,0.159,0.1,0.074,7.7,6.6,6,19.4,0.025,89,99,344,196,194,217,310,401,386,210,315,323,332,285,296,274,279,166,101187
202692, Alec Burks,1610612762, UTA,22,78,24,54,0.308,28.1,108,2.5,0.108,0.145,0.9,0.218,0.2,0.07,10.3,7.2,9.3,26.2,0.015,89,254,461,405,132,389,201,319,322,116,167,294,339,386,334,427,377,271,202692
203458, Alex Len,1610612756, PHX,21,42,24,18,0.571,8.6,105.9,1.4,0.194,0.259,0.1,0.071,0.4,0.5,3.6,2.3,3.6,8,0.007,327,254,146,174,412,304,342,107,113,447,448,152,40,97,72,140,82,407,203458
203144, Alexey Shved,1610612750, MIN,25,63,28,35,0.444,10.5,102.2,1,0.099,0.136,0.4,0.245,0.3,0.225,3.4,2.9,3.1,9.8,0.013,224,212,344,292,375,166,411,356,350,310,117,238,164,85,102,109,118,325,203144
201582, Alexis Ajinca,1610612740, NOP,26,56,22,34,0.393,17,108.1,3.3,0.222,0.293,0.4,0.173,0.8,0.368,6,4.7,5.2,14.8,0.009,261,274,326,326,280,394,138,60,65,312,277,68,88,206,211,232,202,379,201582
203459, Allen Crabbe,1610612757, POR,22,15,12,3,0.8,6.7,106.2,0.5,0.087,0.108,0.1,0.125,0.1,0.167,3.6,1.6,2.5,4.9,0.005,422,375,23,9,443,312,452,407,426,440,376,387,211,94,36,76,33,427,203459
202087, Alonzo Gee,1610612739, CLE,27,65,29,36,0.446,15.7,106.6,1.8,0.128,0.173,0.6,0.252,0.2,0.156,6,4.3,4.6,13.2,0.011,210,201,355,291,301,323,304,257,256,216,103,255,227,206,185,196,178,342,202087
2405, Amar'e Stoudemire,1610612752, NYK,31,65,26,39,0.4,22.6,109.5,3.2,0.175,0.243,0.4,0.112,0.6,0.319,7.5,6.2,4.9,17.8,0.008,210,237,379,320,197,427,142,158,140,344,409,110,113,275,282,214,261,393,2405
101161, Amir Johnson,1610612761, TOR,27,77,43,34,0.558,28.8,102.2,4.3,0.173,0.233,0.7,0.184,1.1,0.436,9.7,7.7,6.5,25.1,0.036,101,99,326,190,118,162,69,167,163,172,246,34,65,358,358,303,361,76,101161
2760, Anderson Varejao,1610612739, CLE,31,65,25,40,0.385,27.7,102.4,6.8,0.286,0.368,1.1,0.261,0.6,0.289,9.1,7.1,6.6,21.3,0.034,210,246,389,332,134,175,16,16,18,70,85,103,132,331,333,304,304,87,2760
101154, Andray Blatche,1610612751, BKN,27,73,40,33,0.548,22.2,105.5,3.7,0.199,0.277,1,0.288,0.5,0.33,8,6,6.1,20.5,0.019,136,120,313,198,201,292,103,98,84,74,51,121,108,294,270,280,288,214,101154
203083, Andre Drummond,1610612765, DET,20,81,29,52,0.358,32.3,108.6,7.8,0.279,0.376,1.2,0.224,1.6,0.492,12.2,9.2,9.5,29.6,0.015,30,201,448,353,65,405,7,21,16,45,154,12,46,459,433,438,427,277,203083
2738, Andre Iguodala,1610612744, GSW,30,63,41,22,0.651,32.4,96.8,3.8,0.124,0.163,1.5,0.272,0.3,0.088,10.6,8.8,8.5,26.5,0.062,224,115,184,103,63,35,96,268,277,26,71,215,303,404,414,398,388,7,2738
1889, Andre Miller,1610612764, WAS,38,58,32,26,0.552,16.9,100.1,1.8,0.113,0.155,0.6,0.231,0.2,0.087,5.8,5.4,4.1,13.8,0.025,255,177,235,194,281,81,303,303,295,222,137,311,304,193,241,166,191,156,1889
203460, Andre Roberson,1610612760, OKC,22,40,30,10,0.75,10,99.3,1.5,0.155,0.216,0.5,0.275,0.3,0.182,3.4,3,3,9,0.016,338,193,74,28,386,66,339,194,190,281,68,239,197,82,109,101,101,255,203460
200745, Andrea Bargnani,1610612752, NYK,28,42,15,27,0.357,29.9,107,3.6,0.152,0.197,0.3,0.074,1.2,0.416,9.4,7.3,8.4,25.5,0.02,327,345,247,355,105,340,112,202,217,351,446,27,69,342,338,392,366,208,200745
1905, Andrei Kirilenko,1610612751, BKN,33,45,30,15,0.667,19.1,105.9,2,0.128,0.184,0.9,0.248,0.4,0.317,7,4.7,5.1,17.6,0.015,314,193,116,83,249,300,271,255,231,112,113,157,116,251,213,227,256,269,1905
101106, Andrew Bogut,1610612744, GSW,29,67,40,27,0.597,26.4,98.8,7.3,0.293,0.378,0.7,0.172,1.8,0.647,10.3,6.4,7.7,21.6,0.045,201,120,247,148,156,55,12,13,14,176,280,6,16,383,290,363,315,37,101106
