,Player,Year,All_Team
0,Tony Allen,2016.0,2
1,Anthony Davis,2016.0,2
2,Giannis Antetokounmpo,2016.0,2
3,Danny Green,2016.0,2
4,Andre Roberson,2016.0,2
5,Tony Allen,2015.0,2
6,Jimmy Butler,2015.0,2
7,Paul Millsap,2015.0,2
8,Hassan Whiteside,2015.0,2
9,Paul George,2015.0,2
10,Anthony Davis,2014.0,2
11,Jimmy Butler,2014.0,2
12,Andrew Bogut,2014.0,2
13,John Wall,2014.0,2
14,Tim Duncan,2014.0,2
15,Roy Hibbert,2013.0,2
16,Kawhi Leonard,2013.0,2
17,Jimmy Butler,2013.0,2
18,Patrick Beverley,2013.0,2
19,LeBron James,2013.0,2
20,Avery Bradley,2012.0,2
21,Mike Conley,2012.0,2
22,Tim Duncan,2012.0,2
23,Marc Gasol,2012.0,2
24,Paul George,2012.0,2
25,Luol Deng,2011.0,2
26,Rajon Rondo,2011.0,2
27,Kevin Garnett,2011.0,2
28,Tyson Chandler,2011.0,2
29,Kobe Bryant,2011.0,2
30,Tony Allen,2010.0,2
31,Tyson Chandler,2010.0,2
32,Andre Iguodala,2010.0,2
33,Joakim Noah,2010.0,2
34,Chris Paul,2010.0,2
35,Tim Duncan,2009.0,2
36,Thabo Sefolosha,2009.0,2
37,Josh Smith,2009.0,2
38,Anderson Varejao,2009.0,2
39,Dwyane Wade,2009.0,2
40,Rajon Rondo,2008.0,2
41,Dwyane Wade,2008.0,2
42,Metta World Peace,2008.0,2
43,Tim Duncan,2008.0,2
44,Shane Battier,2008.0,2
45,Shane Battier,2007.0,2
46,Raja Bell,2007.0,2
47,Dwight Howard,2007.0,2
48,Chris Paul,2007.0,2
49,Tayshaun Prince,2007.0,2
50,Ben Wallace,2006.0,2
51,Jason Kidd,2006.0,2
52,Tayshaun Prince,2006.0,2
53,Kirk Hinrich,2006.0,2
54,Kevin Garnett,2006.0,2
55,Chauncey Billups,2005.0,2
56,Marcus Camby,2005.0,2
57,Tim Duncan,2005.0,2
58,Kevin Garnett,2005.0,2
59,Tayshaun Prince,2005.0,2
60,Tayshaun Prince,2004.0,2
61,Dwyane Wade,2004.0,2
62,Jason Kidd,2004.0,2
63,Andrei Kirilenko,2004.0,2
64,Marcus Camby,2004.0,2
65,Chauncey Billups,2004.0,2
66,Doug Christie,2003.0,2
67,Tim Duncan,2003.0,2
68,Jason Kidd,2003.0,2
69,Andrei Kirilenko,2003.0,2
70,Theo Ratliff,2003.0,2
71,Metta World Peace,2002.0,2
72,Bruce Bowen,2002.0,2
73,Jason Kidd,2002.0,2
74,Shaquille O'Neal,2002.0,2
75,Eric Snow,2002.0,2
76,Dikembe Mutombo,2001.0,2
77,Clifford Robinson,2001.0,2
78,Doug Christie,2001.0,2
79,Kobe Bryant,2001.0,2
80,Bruce Bowen,2001.0,2
81,Doug Christie,2000.0,2
82,Shaquille O'Neal,2000.0,2
83,Kobe Bryant,2000.0,2
84,Bruce Bowen,2000.0,2
85,P.J. Brown,2000.0,2
86,Eddie Jones,1999.0,2
87,Jason Kidd,1999.0,2
88,Shaquille O'Neal,1999.0,2
89,Scottie Pippen,1999.0,2
90,Clifford Robinson,1999.0,2
91,Dikembe Mutombo,1998.0,2
92,Theo Ratliff,1998.0,2
93,P.J. Brown,1998.0,2
94,Mookie Blaylock,1998.0,2
95,Eddie Jones,1998.0,2
96,Mookie Blaylock,1997.0,2
97,Tim Duncan,1997.0,2
98,Eddie Jones,1997.0,2
99,Charles Oakley,1997.0,2
100,David Robinson,1997.0,2
101,Mookie Blaylock,1996.0,2
102,P.J. Brown,1996.0,2
103,Anthony Mason,1996.0,2
104,Hakeem Olajuwon,1996.0,2
105,John Stockton,1996.0,2
