,Player,<5Ft FGM,<5 Ft FGA,<5 Ft FG%,5-9 Ft GM,5-9 Ft FGA,5-9 Ft FG%,10-14 Ft FGM,10-14 Ft FGA,10-14 Ft FG%,15-19 Ft FGM,15-19 Ft FGA,15-19 Ft FG%,20-24 Ft FGM,20-24 Ft FGA,20-24 Ft FG%,25-29 Ft FGM,25-29 Ft FGA,25-29 Ft FG%,Year,All_Team,Pos
0,A.C. Green,10.1,16.9,0.598,2.4,5.4,0.44,2.5,6.4,0.381,3.7,9.2,0.402,4.2,11.2,0.375,0.4,1.4,0.245,1996,0.0,PF
1,A.C. Green,10.1,16.9,0.598,2.4,5.4,0.44,2.5,6.4,0.381,3.7,9.2,0.402,4.2,11.2,0.375,0.4,1.4,0.245,1996,0.0,PF
2,A.C. Green,10.1,16.9,0.598,2.4,5.4,0.44,2.5,6.4,0.381,3.7,9.2,0.402,4.2,11.2,0.375,0.4,1.4,0.245,1996,0.0,PF
3,Aaron McKie,5.0,10.4,0.483,1.3,3.5,0.364,1.7,4.2,0.405,2.1,5.2,0.4,2.6,7.0,0.36700000000000005,0.4,1.2,0.365,1996,0.0,SG
4,Aaron McKie,5.0,10.4,0.483,1.3,3.5,0.364,1.7,4.2,0.405,2.1,5.2,0.4,2.6,7.0,0.36700000000000005,0.4,1.2,0.365,1996,0.0,SG
5,Aaron McKie,5.0,10.4,0.483,1.3,3.5,0.364,1.7,4.2,0.405,2.1,5.2,0.4,2.6,7.0,0.36700000000000005,0.4,1.2,0.365,1996,0.0,SG
6,Aaron Williams,6.7,11.4,0.589,1.4,3.2,0.429,0.9,2.9,0.32299999999999995,1.2,4.5,0.266,2.0,5.7,0.349,0.3,0.8,0.333,1996,0.0,PF-C
7,Aaron Williams,6.7,11.4,0.589,1.4,3.2,0.429,0.9,2.9,0.32299999999999995,1.2,4.5,0.266,2.0,5.7,0.349,0.3,0.8,0.333,1996,0.0,C
8,Aaron Williams,6.7,11.4,0.589,1.4,3.2,0.429,0.9,2.9,0.32299999999999995,1.2,4.5,0.266,2.0,5.7,0.349,0.3,0.8,0.333,1996,0.0,PF
9,Acie Earl,4.2,7.2,0.5870000000000001,0.8,2.0,0.38,0.7,2.0,0.345,0.8,2.4,0.324,1.4,4.0,0.34299999999999997,0.3,0.9,0.357,1996,0.0,C
10,Acie Earl,4.2,7.2,0.5870000000000001,0.8,2.0,0.38,0.7,2.0,0.345,0.8,2.4,0.324,1.4,4.0,0.34299999999999997,0.3,0.9,0.357,1996,0.0,C
11,Acie Earl,4.2,7.2,0.5870000000000001,0.8,2.0,0.38,0.7,2.0,0.345,0.8,2.4,0.324,1.4,4.0,0.34299999999999997,0.3,0.9,0.357,1996,0.0,C
12,Adam Keefe,4.7,8.2,0.568,0.9,2.0,0.43,0.9,2.5,0.375,1.4,4.1,0.348,2.1,6.4,0.332,0.1,0.8,0.182,1996,0.0,C
13,Adrian Caldwell,5.2,9.8,0.535,1.1,2.4,0.447,1.4,3.2,0.42200000000000004,1.7,4.0,0.415,1.4,3.5,0.40299999999999997,0.5,1.7,0.304,1996,0.0,PF
14,Adrian Caldwell,5.2,9.8,0.535,1.1,2.4,0.447,1.4,3.2,0.42200000000000004,1.7,4.0,0.415,1.4,3.5,0.40299999999999997,0.5,1.7,0.304,1996,0.0,PF
15,Adrian Caldwell,5.2,9.8,0.535,1.1,2.4,0.447,1.4,3.2,0.42200000000000004,1.7,4.0,0.415,1.4,3.5,0.40299999999999997,0.5,1.7,0.304,1996,0.0,PF
16,Alan Henderson,6.6,11.9,0.5589999999999999,1.2,2.1,0.552,1.5,3.3,0.45899999999999996,1.8,3.8,0.478,2.0,5.2,0.381,0.2,0.5,0.5,1996,0.0,PF
17,Aleksandar Djordjevic,2.5,4.9,0.513,0.6,1.8,0.357,0.6,1.3,0.5,0.5,1.4,0.364,0.4,2.4,0.158,0.0,0.0,0.0,1996,0.0,SG
18,Allan Houston,9.5,18.2,0.522,2.0,4.9,0.405,3.2,8.3,0.382,3.4,9.0,0.38,4.3,11.2,0.386,0.4,1.3,0.319,1996,0.0,SG
19,Allen Iverson,18.2,32.6,0.56,2.8,5.4,0.512,3.6,9.1,0.40299999999999997,4.2,9.6,0.432,4.6,11.2,0.41,1.6,5.1,0.307,1996,0.0,PG
20,Alonzo Mourning,9.7,19.7,0.495,3.2,9.0,0.351,2.8,8.0,0.34700000000000003,3.7,8.5,0.439,3.7,9.7,0.382,0.4,1.2,0.347,1996,0.0,C
21,Alton Lister,3.7,7.5,0.49,1.0,1.6,0.625,1.0,1.9,0.539,1.1,2.2,0.509,1.5,3.4,0.436,0.4,0.8,0.529,1996,0.0,C
