,PLAYER_ID,Player, TEAM_ID,Team, AGE, G, MIN, CONTESTED_SHOTS, CONTESTED_SHOTS_2PT, CONTESTED_SHOTS_3PT, CHARGES_DRAWN, DEFLECTIONS, LOOSE_BALLS_RECOVERED, BOX_OUTS,Year
0,201166,Aaron Brooks,1610612741, CHI,31.0,69,16.0, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0,2015
1,203932,Aaron Gordon,1610612753, ORL,20.0,78,24.0, 0.03, 0.03, 0.0, 0.0, 0.0, 0.01, 0.0,2015
2,1626151,Aaron Harrison,1610612766, CHA,21.0,21,4.0, None, None, None, None, None, None, None,2015
3,203940,Adreian Payne,1610612750, MIN,25.0,52,9.0, None, None, None, None, None, None, None,2015
4,201143,Al Horford,1610612737, ATL,30.0,82,32.0, 0.3, 0.27, 0.04, 0.0, 0.04, 0.0, 0.0,2015
5,2744,Al Jefferson,1610612766, CHA,31.0,47,23.0, None, None, None, None, None, None, None,2015
6,202329,Al-Farouq Aminu,1610612757, POR,25.0,82,29.0, None, None, None, None, None, None, None,2015
7,101187,Alan Anderson,1610612764, WAS,33.0,13,15.0, None, None, None, None, None, None, None,2015
8,1626210,Alan Williams,1610612756, PHX,23.0,10,7.0, None, None, None, None, None, None, None,2015
9,202692,Alec Burks,1610612762, UTA,24.0,31,26.0, None, None, None, None, None, None, None,2015
10,203458,Alex Len,1610612756, PHX,23.0,78,23.0, None, None, None, None, None, None, None,2015
11,1627293,Alex Stepheson,1610612763, MEM,28.0,8,9.0, None, None, None, None, None, None, None,2015
12,201582,Alexis Ajinca,1610612740, NOP,28.0,59,15.0, 0.12, 0.08, 0.03, 0.0, 0.02, 0.0, 0.0,2015
13,203459,Allen Crabbe,1610612757, POR,24.0,81,26.0, None, None, None, None, None, None, None,2015
14,202087,Alonzo Gee,1610612740, NOP,29.0,73,22.0, 0.03, 0.03, 0.0, 0.0, 0.04, 0.01, 0.0,2015
15,2405,Amar'e Stoudemire,1610612748, MIA,33.0,52,15.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,2015
16,101161,Amir Johnson,1610612738, BOS,29.0,79,23.0, None, None, None, None, None, None, None,2015
17,2760,Anderson Varejao,1610612744, GSW,33.0,53,9.0, None, None, None, None, None, None, None,2015
18,203083,Andre Drummond,1610612765, DET,22.0,81,33.0, None, None, None, None, None, None, None,2015
19,2738,Andre Iguodala,1610612744, GSW,32.0,65,27.0, 0.05, 0.05, 0.0, 0.0, 0.05, 0.08, 0.0,2015
20,1889,Andre Miller,1610612759, SAS,40.0,39,12.0, None, None, None, None, None, None, None,2015
21,203460,Andre Roberson,1610612760, OKC,24.0,70,22.0, None, None, None, None, None, None, None,2015
22,200745,Andrea Bargnani,1610612751, BKN,30.0,46,14.0, None, None, None, None, None, None, None,2015
23,101106,Andrew Bogut,1610612744, GSW,31.0,70,21.0, 0.26, 0.23, 0.03, 0.0, 0.01, 0.01, 0.0,2015
24,202726,Andrew Goudelock,1610612745, HOU,27.0,8,6.0, None, None, None, None, None, None, None,2015
25,203094,Andrew Nicholson,1610612753, ORL,26.0,56,15.0, None, None, None, None, None, None, None,2015
26,203952,Andrew Wiggins,1610612750, MIN,21.0,81,35.0, 0.15, 0.05, 0.1, 0.0, 0.1, 0.06, 0.0,2015
27,203461,Anthony Bennett,1610612761, TOR,23.0,19,4.0, None, None, None, None, None, None, None,2015
28,1626148,Anthony Brown,1610612747, LAL,23.0,29,21.0, None, None, None, None, None, None, None,2015
29,203076,Anthony Davis,1610612740, NOP,23.0,61,35.0, 0.25, 0.15, 0.1, 0.0, 0.02, 0.02, 0.0,2015
30,201627,Anthony Morrow,1610612760, OKC,30.0,68,14.0, None, None, None, None, None, None, None,2015
31,201229,Anthony Tolliver,1610612765, DET,31.0,72,19.0, None, None, None, None, None, None, None,2015
32,203462,Archie Goodwin,1610612756, PHX,21.0,57,20.0, None, None, None, None, None, None, None,2015
33,203382,Aron Baynes,1610612765, DET,29.0,81,15.0, None, None, None, None, None, None, None,2015
34,201167,Arron Afflalo,1610612752, NYK,30.0,71,33.0, 0.13, 0.04, 0.08, 0.0, 0.0, 0.03, 0.0,2015
35,203085,Austin Rivers,1610612746, LAC,23.0,67,22.0, None, None, None, None, None, None, None,2015
36,202340,Avery Bradley,1610612738, BOS,25.0,76,33.0, None, None, None, None, None, None, None,2015
37,1626253,Axel Toupane,1610612743, DEN,23.0,21,15.0, None, None, None, None, None, None, None,2015
38,203463,Ben McLemore,1610612758, SAC,23.0,68,21.0, None, None, None, None, None, None, None,2015
39,2757,Beno Udrih,1610612763, MEM,33.0,44,16.0, 0.18, 0.14, 0.05, 0.0, 0.02, 0.05, 0.0,2015
40,202687,Bismack Biyombo,1610612761, TOR,23.0,82,22.0, None, None, None, None, None, None, None,2015
41,201933,Blake Griffin,1610612746, LAC,27.0,35,33.0, None, None, None, None, None, None, None,2015
42,1626246,Boban Marjanovic,1610612759, SAS,27.0,54,9.0, None, None, None, None, None, None, None,2015
43,1626171,Bobby Portis,1610612741, CHI,21.0,62,18.0, 0.08, 0.03, 0.05, 0.0, 0.0, 0.0, 0.0,2015
