CLOSE_DEF_PERSON_ID, PLAYER_NAME, PLAYER_LAST_TEAM_ID, PLAYER_LAST_TEAM_ABBREVIATION, PLAYER_POSITION, AGE, GP, G, FREQ, D_FGM, D_FGA, D_FG_PCT, PCT_PLUSMINUS
202326, DeMarcus Cousins, 1610612740, NOP, C, 27.0, 48, 48, 1.0, 8.0, 16.69, 0.479, -0.002
203076, Anthony Davis, 1610612740, NOP, F-C, 24.0, 54, 54, 1.0, 6.65, 16.26, 0.409, -0.059
203991, Clint Capela, 1610612745, HOU, C, 23.0, 54, 54, 1.0, 7.8, 16.24, 0.48, 0.004
201143, Al Horford, 1610612738, BOS, F-C, 31.0, 54, 54, 1.0, 6.52, 15.98, 0.408, -0.062
203999, Nikola Jokic, 1610612743, DEN, C, 23.0, 54, 54, 1.0, 8.81, 15.83, 0.557, 0.076
204001, Kristaps Porzingis, 1610612752, NYK, F-C, 22.0, 47, 47, 1.0, 6.57, 15.49, 0.424, -0.042
203497, Rudy Gobert, 1610612762, UTA, C, 25.0, 35, 35, 1.0, 7.23, 15.43, 0.469, -0.012
1626157, Karl-Anthony Towns, 1610612750, MIN, C, 22.0, 64, 64, 1.0, 7.48, 15.36, 0.487, 0.009
203500, Steven Adams, 1610612760, OKC, C, 24.0, 56, 56, 1.0, 6.91, 15.21, 0.454, -0.026
202696, Nikola Vucevic, 1610612753, ORL, C, 27.0, 37, 37, 1.0, 7.73, 14.78, 0.523, 0.04
201933, Blake Griffin, 1610612765, DET, F, 28.0, 44, 44, 1.0, 6.59, 14.68, 0.449, -0.017
201950, Jrue Holiday, 1610612740, NOP, G, 27.0, 60, 60, 1.0, 6.4, 14.43, 0.443, -0.009
203110, Draymond Green, 1610612744, GSW, F, 27.0, 53, 53, 1.0, 6.08, 14.3, 0.425, -0.041
1626167, Myles Turner, 1610612754, IND, C, 21.0, 44, 44, 1.0, 6.7, 14.2, 0.472, -0.002
203954, Joel Embiid, 1610612755, PHI, C, 23.0, 47, 47, 1.0, 5.77, 14.15, 0.408, -0.078
200794, Paul Millsap, 1610612743, DEN, F, 33.0, 17, 17, 1.0, 5.59, 13.76, 0.406, -0.06
200746, LaMarcus Aldridge, 1610612759, SAS, F, 32.0, 55, 55, 1.0, 5.91, 13.56, 0.436, -0.034
202689, Kemba Walker, 1610612766, CHA, G, 27.0, 59, 59, 1.0, 5.81, 13.44, 0.433, -0.013
203952, Andrew Wiggins, 1610612750, MIN, F, 23.0, 62, 62, 1.0, 6.39, 13.44, 0.475, 0.02
202699, Tobias Harris, 1610612746, LAC, F, 25.0, 57, 57, 1.0, 6.23, 13.26, 0.47, 0.007
2736, Luol Deng, 1610612747, LAL, F, 32.0, 1, 1, 1.0, 6.0, 13.0, 0.462, -0.003
203994, Jusuf Nurkic, 1610612757, POR, C, 23.0, 58, 58, 1.0, 6.34, 12.9, 0.492, 0.005
201188, Marc Gasol, 1610612763, MEM, C, 33.0, 57, 57, 1.0, 5.77, 12.88, 0.448, -0.04
101162, Marcin Gortat, 1610612764, WAS, C, 34.0, 61, 61, 1.0, 6.07, 12.8, 0.474, -0.007
201152, Thaddeus Young, 1610612754, IND, F, 29.0, 60, 60, 1.0, 5.72, 12.62, 0.453, -0.007
201959, Taj Gibson, 1610612750, MIN, F, 32.0, 64, 64, 1.0, 5.72, 12.48, 0.458, -0.008
201567, Kevin Love, 1610612739, CLE, F-C, 29.0, 48, 48, 1.0, 6.63, 12.42, 0.534, 0.054
201599, DeAndre Jordan, 1610612746, LAC, C, 29.0, 54, 54, 1.0, 5.81, 12.39, 0.469, -0.01
201577, Robin Lopez, 1610612741, CHI, C, 29.0, 57, 57, 1.0, 6.0, 12.39, 0.484, -0.006
