PLAYER_ID, PLAYER_NAME, TEAM_ID, TEAM_ABBREVIATION, AGE, GP, W, L, W_PCT, MIN, DEF_RATING, DREB, DREB_PCT, PCT_DREB, STL, PCT_STL, BLK, PCT_BLK, OPP_PTS_OFF_TOV, OPP_PTS_2ND_CHANCE, OPP_PTS_FB, OPP_PTS_PAINT, DEF_WS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, DEF_RATING_RANK, DREB_RANK, DREB_PCT_RANK, PCT_DREB_RANK, STL_RANK, PCT_STL_RANK, BLK_RANK, PCT_BLK_RANK, OPP_PTS_OFF_TOV_RANK, OPP_PTS_2ND_CHANCE_RANK, OPP_PTS_FB_RANK, OPP_PTS_PAINT_RANK, DEF_WS_RANK, CFPARAMS
201985, AJ Price,1610612754, IND,24,50,22,28,0.44,15.9,102.7,1.1,0.083,0.112,0.6,0.24,0,0.014,4.4,4.1,3.6,12,0.019,297,262,221,277,292,160,369,400,406,208,109,421,418,118,151,123,147,223,201985
201166, Aaron Brooks,1610612756, PHX,26,59,26,33,0.441,21.8,112.4,1,0.053,0.074,0.6,0.207,0.1,0.027,7.6,6.6,7.7,20.8,0.001,239,227,273,275,202,437,388,444,445,209,170,392,402,259,281,312,284,435,201166
201189, Aaron Gray,1610612740, NOH,26,41,21,20,0.512,12.9,105.2,2.7,0.273,0.346,0.3,0.149,0.3,0.324,3.3,2.7,2.7,8.9,0.012,329,271,128,205,333,245,169,11,20,368,308,223,107,69,72,69,89,316,201189
201151, Acie Law,1610612744, GSW,26,51,20,31,0.392,14.2,108.3,1,0.082,0.122,0.6,0.242,0,0,5,4.5,5.3,12.7,0.008,294,280,246,314,314,366,379,405,380,191,106,426,426,142,173,204,158,370,201151
1733, Al Harrington,1610612743, DEN,31,73,45,28,0.616,22.8,106.7,3.5,0.179,0.241,0.5,0.148,0.1,0.079,7.8,6.2,6.4,20.2,0.017,139,69,221,115,187,309,106,124,130,224,309,326,319,265,260,260,269,244,1733
201143, Al Horford,1610612737, ATL,25,77,41,36,0.532,35.1,104.4,7,0.233,0.309,0.8,0.18,1,0.349,10.2,8.9,10,29.4,0.036,103,96,319,179,37,223,11,36,44,139,234,42,99,375,388,412,407,70,201143
2744, Al Jefferson,1610612762, UTA,26,82,39,43,0.476,35.9,109.2,6.8,0.228,0.32,0.6,0.104,1.9,0.415,12.2,10.1,9.8,31.8,0.016,2,116,379,247,28,391,13,42,34,215,400,9,68,431,436,405,432,265,2744
201154, Al Thornton,1610612744, GSW,27,71,21,50,0.296,19.5,105.4,2.2,0.139,0.195,0.5,0.153,0.2,0.077,6.8,5.2,6.7,17.6,0.018,167,271,418,378,236,253,227,216,205,242,295,302,323,231,207,273,239,240,201154
202329, Al-Farouq Aminu,1610612746, LAC,20,81,31,50,0.383,17.9,105.1,2.4,0.154,0.209,0.7,0.263,0.3,0.169,7.9,4.6,5,14.6,0.017,33,190,418,323,257,241,205,179,179,156,67,212,210,269,179,181,180,248,202329
201582, Alexis Ajinca,1610612761, TOR,23,34,6,28,0.176,10,103.4,1.8,0.208,0.285,0.3,0.212,0.6,0.5,4.3,2.4,3.3,7.5,0.012,357,408,221,439,377,179,277,73,70,337,161,114,33,107,58,108,64,327,201582
202087, Alonzo Gee,1610612739, CLE,24,56,16,40,0.286,20,109.5,2.1,0.124,0.172,0.7,0.242,0.3,0.207,6.9,6.2,6.4,19.3,0.008,267,331,353,386,232,403,235,251,245,161,106,203,183,234,257,259,257,366,202087
2405, Amar'e Stoudemire,1610612752, NYK,28,78,39,39,0.5,36.8,108.5,5.6,0.177,0.247,0.9,0.167,1.9,0.427,12.1,10.9,9.4,35.9,0.02,90,116,344,215,20,370,37,130,124,102,265,7,64,429,446,389,448,219,2405
101161, Amir Johnson,1610612761, TOR,24,72,20,52,0.278,25.7,108.3,3.8,0.179,0.249,0.7,0.193,1.2,0.494,8.3,7.6,8.3,25.4,0.014,151,280,431,392,153,367,91,123,119,151,206,31,41,288,331,339,345,287,101161
2760, Anderson Varejao,1610612739, CLE,28,31,8,23,0.258,32.1,106.7,6.5,0.24,0.317,0.9,0.201,1.2,0.5,10.2,7.9,10.2,25.9,0.024,362,391,166,403,77,310,19,32,38,112,191,30,33,368,352,423,352,171,2760
101154, Andray Blatche,1610612764, WAS,24,64,21,43,0.328,33.9,107.2,5.4,0.19,0.264,1.5,0.266,0.8,0.192,12.5,9.2,11.6,31.8,0.023,213,271,379,360,53,328,42,103,96,15,60,65,193,435,402,440,431,175,101154
2738, Andre Iguodala,1610612755, PHI,27,67,36,31,0.537,36.8,100.8,4.9,0.151,0.2,1.5,0.251,0.6,0.151,10.8,9.1,9.9,31,0.055,195,145,246,174,19,94,53,188,198,19,91,109,230,396,392,408,424,13,2738
1889, Andre Miller,1610612757, POR,35,81,47,34,0.58,32.7,104,2.5,0.098,0.136,1.4,0.255,0.1,0.05,9.7,8.8,7.8,25.9,0.035,33,60,288,142,68,216,189,341,339,26,86,316,363,343,382,316,353,79,1889
200745, Andrea Bargnani,1610612761, TOR,25,66,19,47,0.288,35.7,112.5,4.1,0.141,0.196,0.5,0.106,0.7,0.229,12.7,10,12.8,37,0.001,202,290,400,385,31,439,78,210,204,233,393,78,167,439,435,445,450,434,200745
1905, Andrei Kirilenko,1610612762, UTA,30,64,33,31,0.516,31.2,107.7,3.5,0.135,0.189,1.3,0.252,1.2,0.291,10.9,8.5,8.8,27,0.02,213,174,246,199,89,347,103,227,214,35,90,34,123,400,373,360,373,218,1905
2804, Andres Nocioni,1610612755, PHI,31,54,23,31,0.426,17.2,106.6,2.8,0.191,0.255,0.3,0.101,0.3,0.172,6,4.4,5.9,15.1,0.014,275,252,246,291,270,300,165,100,109,369,402,232,207,184,168,235,195,298,2804
101106, Andrew Bogut,1610612749, MIL,26,65,28,37,0.431,35.3,98.6,8,0.262,0.346,0.7,0.143,2.6,0.62,11.1,8.7,9.1,26.6,0.061,206,212,331,285,35,44,4,18,19,157,324,1,11,408,381,377,363,9,101106
101115, Andrew Bynum,1610612747, LAL,23,54,36,18,0.667,27.8,99.2,6.3,0.252,0.337,0.4,0.093,2,0.592,8.5,7.1,8.4,21.2,0.046,275,145,111,95,126,57,26,25,23,315,411,6,15,294,304,345,290,32,101115
2740, Andris Biedrins,1610612744, GSW,25,59,26,33,0.441,23.7,110.5,4.8,0.242,0.339,0.9,0.179,0.9,0.473,9.8,6.5,10.9,23.1,0.007,239,227,273,275,180,421,57,30,22,108,237,57,51,348,280,434,312,388,2740
202360, Andy Rautins,1610612752, NYK,24,5,2,3,0.4,4.8,102.6,0.2,0.048,0.083,0.2,0.143,0,0,3.4,1.2,1.8,4,0.006,433,432,17,307,439,153,444,445,438,386,324,426,426,74,16,26,15,398,202360
1712, Antawn Jamison,1610612739, CLE,35,56,9,47,0.161,32.9,111.9,5.2,0.186,0.258,0.9,0.188,0.5,0.184,10.2,9.4,9.3,29.4,0.004,267,385,400,443,65,433,47,109,106,105,219,122,198,370,413,386,406,418,1712
1853, Anthony Carter,1610612752, NYK,36,33,20,13,0.606,14,103.4,1.3,0.109,0.155,0.8,0.318,0.2,0.128,4.6,3.8,3.1,10.7,0.016,359,280,77,122,316,177,343,295,285,129,20,293,257,125,136,96,120,262,1853
201627, Anthony Morrow,1610612751, NJN,25,58,17,41,0.293,32,105.1,2.3,0.088,0.116,0.3,0.094,0.1,0.042,10.2,8.4,9.2,28.4,0.031,251,315,364,379,79,242,210,381,397,334,409,336,374,365,366,384,390,107,201627
1515, Anthony Parker,1610612739, CLE,36,72,18,54,0.25,29,107.6,2.6,0.102,0.139,0.9,0.245,0.1,0.06,9.4,7.7,8.8,24.6,0.019,151,303,436,406,107,345,185,323,320,94,102,325,348,327,340,363,333,226,1515
201576, Anthony Randolph,1610612750, MIN,21,40,11,29,0.275,14.7,107.5,2.9,0.228,0.308,0.6,0.237,0.6,0.49,6.6,4.4,4.9,13.7,0.01,337,366,230,394,303,339,155,43,47,219,114,99,43,214,170,176,170,348,201576
201229, Anthony Tolliver,1610612750, MIN,26,65,12,53,0.185,21,106.1,3.1,0.178,0.245,0.4,0.128,0.4,0.211,8,6,6.5,16.6,0.017,206,362,433,437,216,286,133,129,125,272,360,154,179,271,252,263,221,247,201229
101120, Antoine Wright,1610612758, SAC,27,7,2,5,0.286,4.5,105.7,0.1,0.043,0.059,0.1,0.2,0,0,1.9,1.9,1.4,4.6,0.004,428,432,32,386,442,262,445,446,446,405,193,426,426,17,35,15,24,416,101120
1498, Antonio Daniels,1610612755, PHI,36,4,1,3,0.25,8.8,94.8,1.3,0.152,0.227,0,0,0,0,2.5,2.3,2.3,5.5,0.018,437,439,17,406,395,16,356,187,144,435,435,426,426,31,54,46,35,235,1498
686, Antonio McDyess,1610612759, SAS,36,73,54,19,0.74,19,102.3,3.7,0.225,0.3,0.5,0.189,0.5,0.322,6.6,5,5.6,16.1,0.025,139,38,121,42,245,138,95,49,54,241,213,123,109,217,199,213,210,162,686
202356, Armon Johnson,1610612757, POR,22,38,20,18,0.526,7.3,97.5,0.7,0.109,0.151,0.1,0.114,0,0.048,2.8,2.1,1.8,6.3,0.015,343,280,111,187,408,28,418,298,293,411,388,418,366,46,49,25,44,282,202356
201167, Arron Afflalo,1610612743, DEN,25,69,40,29,0.58,33.7,105.9,3,0.101,0.132,0.5,0.102,0.4,0.158,10.2,9.3,9,29.1,0.029,186,106,230,143,57,271,145,328,346,243,401,145,219,369,409,371,398,120,201167
201948, Austin Daye,1610612765, DET,23,72,26,46,0.361,20.1,108.8,2.9,0.185,0.255,0.5,0.178,0.5,0.295,7.1,5.8,5.9,17.6,0.01,151,227,395,342,230,383,157,112,108,221,241,120,118,238,243,229,238,341,201948
202340, Avery Bradley,1610612738, BOS,20,31,21,10,0.677,5.2,101.7,0.4,0.092,0.133,0.3,0.333,0,0,2.7,1.8,2.1,4.2,0.007,362,271,59,86,432,122,435,365,345,359,13,426,426,41,31,40,21,376,202340
