2P%_opp_poss,2P%_poss,2PA_opp_poss,2PA_poss,2P_opp_poss,2P_poss,3P%_opp_poss,3P%_poss,3PA_opp_poss,3PA_poss,3P_opp_poss,3P_poss,AST_opp_poss,AST_poss,BLK_opp_poss,BLK_poss,DRB_opp_poss,DRB_poss,FG%_opp_poss,FG%_poss,FGA_opp_poss,FGA_poss,FG_opp_poss,FG_poss,FT%_opp_poss,FT%_poss,FTA_opp_poss,FTA_poss,FT_opp_poss,FT_poss,G_opp_poss,G_poss,MP_opp_poss,MP_poss,ORB_opp_poss,ORB_poss,PF_opp_poss,PF_poss,PTS_opp_poss,PTS_poss,Rk_opp_poss,Rk_poss,STL_opp_poss,STL_poss,TOV_opp_poss,TOV_poss,TRB_opp_poss,TRB_poss,Team_opp_poss,Team_poss,Year
0.482,0.497,82.3,83.2,39.7,41.4,0.307,0.199,3.4,2,1.1,0.4,23.6,24.5,4.5,5.3,28.2,29.1,0.475,0.49,85.7,85.2,40.7,41.8,0.76,0.732,30.4,32.8,23.1,24,82,82,19805,19805,14.6,15.1,25.8,26.3,105.6,107.9,6,17,8.4,8.9,18.1,18,42.8,44.3,Atlanta Hawks*,Atlanta Hawks*,1986
0.469,0.517,85.7,82.6,40.2,42.8,0.27,0.351,3.6,4.7,1,1.6,23,28.5,4.1,6.1,27.7,32.9,0.461,0.508,89.3,87.3,41.1,44.4,0.748,0.794,25.8,26.9,19.3,21.3,82,82,19855,19855,13,12.6,23.5,21,102.6,111.8,3,8,8.7,7.7,15,16.2,40.7,45.5,Boston Celtics*,Boston Celtics*,1986
0.511,0.49,83.7,83.7,42.8,41.1,0.3,0.278,2.8,3.8,0.8,1.1,26.3,24.3,6,4.8,28.6,27.6,0.504,0.481,86.5,87.6,43.6,42.1,0.762,0.769,31.8,30.3,24.3,23.3,82,82,19855,19855,13.4,15.5,24.3,26.2,112.4,108.6,18,13,8,7.4,15.7,17.4,42,43.1,Chicago Bulls*,Chicago Bulls*,1986
0.482,0.489,82.9,81.8,40,40,0.29,0.338,3.5,4.7,1,1.6,25.3,24.6,4.3,5.2,29.8,29.3,0.475,0.48,86.4,86.4,41,41.5,0.767,0.752,32.9,27.8,25.3,20.9,82,82,19780,19780,13.5,13,23.2,27.1,108.3,105.5,11,19,8.5,7.5,15.9,16.8,43.3,42.3,Cleveland Cavaliers,Cleveland Cavaliers,1986
0.512,0.513,87.5,80.7,44.8,41.4,0.289,0.316,3.7,5.3,1.1,1.7,28.2,25,5,4.4,29.3,29.1,0.503,0.501,91.2,86,45.8,43.1,0.754,0.776,24.3,31.3,18.3,24.3,82,82,19805,19805,14.5,12.6,26,20.6,111,112.1,21,2,7.3,7.2,15.2,15.3,43.7,41.7,Dallas Mavericks*,Dallas Mavericks*,1986
0.501,0.48,81.3,86.1,40.7,41.4,0.229,0.233,3,3.5,0.7,0.8,24,24.4,5.5,4.8,31.1,26.4,0.491,0.471,84.3,89.6,41.4,42.2,0.73,0.798,30.7,27.5,22.4,22,82,82,19755,19755,14.7,13.9,24.1,24.6,105.9,107.1,19,4,7.3,9.4,19.8,15.2,45.8,40.3,Denver Nuggets*,Denver Nuggets*,1986
0.499,0.489,82.8,88.1,41.3,43.1,0.275,0.302,3,2.1,0.8,0.6,24.3,27,5.8,4,29.6,28.7,0.492,0.484,85.8,90.3,42.2,43.7,0.756,0.783,30.1,26.8,22.8,21,82,82,19780,19780,13.7,14.9,23,24.5,107.9,109,15,7,7.7,8.6,17.4,15.6,43.3,43.5,Detroit Pistons*,Detroit Pistons*,1986
0.527,0.489,83.9,84.9,44.2,41.5,0.284,0.313,2.7,3.2,0.8,1,27.1,23.5,5.1,4.1,29.3,27.3,0.52,0.482,86.5,88.1,45,42.5,0.746,0.76,28,29.3,20.9,22.3,82,82,19780,19780,13.6,14.8,24.1,23.7,111.6,108.3,23,9,8.1,8.7,17.3,16.3,43,42.1,Golden State Warriors,Golden State Warriors,1986
0.498,0.499,83.7,86.4,41.7,43.1,0.325,0.274,3.1,3.6,1,1,25.8,27.2,4.5,6.5,28,28.6,0.491,0.49,86.9,90,42.7,44.1,0.749,0.73,28.2,28.6,21.2,20.8,82,82,19755,19755,14,15.4,23.2,23.4,107.6,110.1,13,6,8,8.7,17.2,16.1,42,44,Houston Rockets*,Houston Rockets*,1986
0.482,0.488,82.5,84.4,39.7,41.2,0.265,0.161,3.3,1.7,0.9,0.3,24.8,26,5.4,4.6,29.9,31.5,0.473,0.481,85.8,86.1,40.6,41.4,0.768,0.739,31,26.3,23.8,19.4,82,82,19755,19755,12.6,13.7,23,25.7,105.9,102.6,7,21,9,7.9,15.8,18.2,42.5,45.2,Indiana Pacers,Indiana Pacers,1986
0.515,0.479,86.7,82.1,44.7,39.3,0.28,0.279,3.1,2.7,0.9,0.8,29.2,23.3,5.4,5.9,29.1,26.7,0.507,0.473,89.8,84.8,45.5,40.1,0.747,0.77,27,31.7,20.2,24.5,82,82,19755,19755,15,13.7,25,22.8,112.1,105.4,22,16,9,8.2,16.5,17.8,44.1,40.4,Los Angeles Clippers,Los Angeles Clippers,1986
0.49,0.533,84.9,81.7,41.5,43.5,0.206,0.337,2.9,4.8,0.6,1.6,26.3,28.7,4.2,4.9,26.2,30.1,0.48,0.522,87.8,86.5,42.1,45.2,0.751,0.778,27.9,27.4,20.9,21.3,82,82,19830,19830,13,13,23.5,23.9,105.8,113.3,10,1,9.3,8.2,15.7,17.3,39.2,43.1,Los Angeles Lakers*,Los Angeles Lakers*,1986
0.475,0.502,79.7,82.2,37.8,41.3,0.295,0.327,3.9,4.5,1.2,1.5,23.2,25.6,4.7,5.5,27.6,28.7,0.467,0.493,83.6,86.8,39,42.7,0.74,0.764,31.7,32.1,23.5,24.5,82,82,19805,19805,13.9,14.1,25.4,26.2,102.7,111.4,5,5,7.5,9.6,19.4,16.2,41.5,42.8,Milwaukee Bucks*,Milwaukee Bucks*,1986
0.501,0.495,79.8,83.1,40,41.1,0.304,0.201,3.7,2.5,1.1,0.5,23.7,25,4.6,4,27.8,29.1,0.492,0.486,83.6,85.6,41.1,41.6,0.766,0.755,30.8,28.1,23.6,21.2,82,82,19805,19805,12.2,13.9,23.5,25,106.9,105,12,14,9.2,8.8,17.9,18.5,39.9,43,New Jersey Nets*,New Jersey Nets*,1986
