Position,Teams,Year
1,Boston Celtics,1986.0
2,Houston Rockets,1986.0
3,Los Angeles Lakers,1986.0
3,Milwaukee Bucks,1986.0
4,Philadelphia 76ers,1986.0
4,Denver Nuggets,1986.0
4,Dallas Mavericks,1986.0
4,Atlanta Hawks,1986.0
5,Washington Bullets,1986.0
5,Detroit Pistons,1986.0
5,Portland Trail Blazers,1986.0
5,Utah Jazz,1986.0
5,Chicago Bulls,1986.0
5,New Jersey Nets,1986.0
5,Sacramento Kings,1986.0
5,San Antonio Spurs,1986.0
1,Los Angeles Lakers,1987.0
2,Boston Celtics,1987.0
3,Detroit Pistons,1987.0
3,Seattle Supersonics,1987.0
4,Milwaukee Bucks,1987.0
4,Houston Rockets,1987.0
4,Golden State Warriors,1987.0
4,Atlanta Hawks,1987.0
5,Philadelphia 76ers,1987.0
5,Utah Jazz,1987.0
5,Dallas Mavericks,1987.0
5,Portland Trail Blazers,1987.0
5,Indiana Pacers,1987.0
5,Denver Nuggets,1987.0
5,Chicago Bulls,1987.0
5,Washington Bullets,1987.0
1,Los Angeles Lakers,1988.0
2,Detroit Pistons,1988.0
3,Dallas Mavericks,1988.0
3,Boston Celtics,1988.0
4,Atlanta Hawks,1988.0
4,Denver Nuggets,1988.0
4,Utah Jazz,1988.0
4,Chicago Bulls,1988.0
5,Seattle Supersonics,1988.0
5,Milwaukee Bucks,1988.0
5,Cleveland Cavaliers,1988.0
5,Washington Bullets,1988.0
5,Houston Rockets,1988.0
5,Portland Trail Blazers,1988.0
5,New York Knicks,1988.0
5,San Antonio Spurs,1988.0
1,Detroit Pistons,1989.0
2,Chicago Bulls,1989.0
3,Los Angeles Lakers,1989.0
3,Phoenix Suns,1989.0
4,New York Knicks,1989.0
4,Golden State Warriors,1989.0
4,Milwaukee Bucks,1989.0
4,Seattle Supersonics,1989.0
5,Atlanta Hawks,1989.0
5,Cleveland Cavaliers,1989.0
5,Houston Rockets,1989.0
5,Denver Nuggets,1989.0
5,Portland Trail Blazers,1989.0
5,Philadelphia 76ers,1989.0
5,Utah Jazz,1989.0
5,Boston Celtics,1989.0
1,Detroit Pistons,1990.0
2,Portland Trail Blazers,1990.0
3,Phoenix Suns,1990.0
3,Chicago Bulls,1990.0
4,San Antonio Spurs,1990.0
4,New York Knicks,1990.0
4,Philadelphia 76ers,1990.0
4,Los Angeles Lakers,1990.0
5,Boston Celtics,1990.0
5,Cleveland Cavaliers,1990.0
5,Utah Jazz,1990.0
5,Milwaukee Bucks,1990.0
5,Houston Rockets,1990.0
5,Denver Nuggets,1990.0
5,Dallas Mavericks,1990.0
5,Indiana Pacers,1990.0
1,Chicago Bulls,1991.0
2,Los Angeles Lakers,1991.0
3,Portland Trail Blazers,1991.0
3,Detroit Pistons,1991.0
4,Boston Celtics,1991.0
4,Golden State Warriors,1991.0
4,Utah Jazz,1991.0
4,Philadelphia 76ers,1991.0
5,Indiana Pacers,1991.0
5,Seattle Supersonics,1991.0
5,Atlanta Hawks,1991.0
5,San Antonio Spurs,1991.0
5,Phoenix Suns,1991.0
5,Milwaukee Bucks,1991.0
5,Houston Rockets,1991.0
5,New York Knicks,1991.0
1,Chicago Bulls,1992.0
2,Portland Trail Blazers,1992.0
3,Cleveland Cavaliers,1992.0
3,Utah Jazz,1992.0
4,New York Knicks,1992.0
4,Boston Celtics,1992.0
4,Seattle Supersonics,1992.0
4,Phoenix Suns,1992.0
5,Los Angeles Clippers,1992.0
5,Golden State Warriors,1992.0
5,Detroit Pistons,1992.0
5,New Jersey Nets,1992.0
5,Los Angeles Lakers,1992.0
5,Indiana Pacers,1992.0
