2P%_game,2P%_opp_game,2PA_game,2PA_opp_game,2P_game,2P_opp_game,3P%_game,3P%_opp_game,3PA_game,3PA_opp_game,3P_game,3P_opp_game,AST_game,AST_opp_game,BLK_game,BLK_opp_game,DRB_game,DRB_opp_game,FG%_game,FG%_opp_game,FGA_game,FGA_opp_game,FG_game,FG_opp_game,FT%_game,FT%_opp_game,FTA_game,FTA_opp_game,FT_game,FT_opp_game,G_game,G_opp_game,MP_game,MP_opp_game,ORB_game,ORB_opp_game,PF_game,PF_opp_game,PTS_game,PTS_opp_game,Rk_game,Rk_opp_game,STL_game,STL_opp_game,TOV_game,TOV_opp_game,TRB_game,TRB_opp_game,Team_game,Team_opp_game,Year
0.497,0.482,83.7,82.8,41.6,39.9,0.199,0.307,2,3.5,0.4,1.1,24.7,23.7,5.3,4.5,29.3,28.4,0.49,0.475,85.7,86.3,42,41,0.732,0.76,33,30.6,24.1,23.2,82,82,241.5,241.5,15.2,14.7,26.5,26,108.6,106.2,17,6,9,8.5,18.1,18.2,44.6,43.1,Atlanta Hawks*,Atlanta Hawks*,1986
0.517,0.469,84.4,87.5,43.7,41,0.351,0.27,4.8,3.7,1.7,1,29.1,23.5,6.2,4.2,33.6,28.3,0.508,0.461,89.2,91.2,45.3,42,0.794,0.748,27.4,26.4,21.8,19.7,82,82,242.1,242.1,12.9,13.3,21.4,24,114.1,104.7,8,3,7.8,8.8,16.6,15.3,46.4,41.5,Boston Celtics*,Boston Celtics*,1986
0.49,0.511,84.3,84.2,41.3,43.1,0.278,0.3,3.9,2.8,1.1,0.9,24.5,26.5,4.9,6,27.8,28.8,0.481,0.504,88.1,87,42.4,43.9,0.769,0.762,30.5,32,23.4,24.4,82,82,242.1,242.1,15.6,13.5,26.4,24.4,109.3,113.1,13,18,7.4,8.1,17.5,15.8,43.4,42.3,Chicago Bulls*,Chicago Bulls*,1986
0.489,0.482,83.5,84.7,40.8,40.8,0.338,0.29,4.8,3.6,1.6,1,25.2,25.9,5.3,4.4,29.9,30.4,0.48,0.475,88.3,88.3,42.4,41.9,0.752,0.767,28.4,33.6,21.3,25.8,82,82,241.2,241.2,13.2,13.8,27.6,23.7,107.8,110.6,19,11,7.6,8.7,17.2,16.2,43.2,44.2,Cleveland Cavaliers,Cleveland Cavaliers,1986
0.513,0.512,83,90,42.6,46,0.316,0.289,5.4,3.8,1.7,1.1,25.7,29,4.5,5.2,29.9,30.1,0.501,0.503,88.5,93.8,44.3,47.1,0.776,0.754,32.2,25,25,18.8,82,82,241.5,241.5,12.9,14.9,21.1,26.8,115.3,114.2,2,21,7.4,7.5,15.7,15.6,42.8,45,Dallas Mavericks*,Dallas Mavericks*,1986
0.48,0.501,92.2,87.1,44.3,43.6,0.233,0.229,3.7,3.2,0.9,0.7,26.1,25.7,5.1,5.9,28.3,33.3,0.471,0.491,96,90.3,45.2,44.4,0.798,0.73,29.5,32.8,23.5,24,82,82,240.9,240.9,14.9,15.8,26.4,25.8,114.8,113.5,4,19,10.1,7.8,16.3,21.2,43.2,49.1,Denver Nuggets*,Denver Nuggets*,1986
0.489,0.499,92.3,86.7,45.1,43.3,0.302,0.275,2.2,3.1,0.7,0.9,28.3,25.4,4.1,6.1,30,31,0.484,0.492,94.5,89.8,45.8,44.1,0.783,0.756,28,31.6,22,23.9,82,82,241.2,241.2,15.6,14.4,25.6,24.1,114.2,113,7,15,9,8.1,16.4,18.2,45.6,45.3,Detroit Pistons*,Detroit Pistons*,1986
0.489,0.527,88.9,87.8,43.5,46.3,0.313,0.284,3.4,2.8,1.1,0.8,24.6,28.4,4.3,5.4,28.6,30.7,0.482,0.52,92.3,90.6,44.5,47.1,0.76,0.746,30.7,29.3,23.3,21.8,82,82,241.2,241.2,15.5,14.3,24.8,25.2,113.4,116.9,9,23,9.2,8.4,17.1,18.1,44.1,45,Golden State Warriors,Golden State Warriors,1986
0.499,0.498,89.8,87,44.8,43.3,0.274,0.325,3.8,3.3,1,1.1,28.3,26.8,6.7,4.7,29.7,29.1,0.49,0.491,93.5,90.3,45.8,44.4,0.73,0.749,29.7,29.3,21.7,22,82,82,240.9,240.9,16,14.5,24.3,24.1,114.4,111.8,6,13,9.1,8.3,16.8,17.9,45.7,43.6,Houston Rockets*,Houston Rockets*,1986
0.488,0.482,85.5,83.5,41.7,40.2,0.161,0.265,1.7,3.4,0.3,0.9,26.3,25.1,4.6,5.4,31.9,30.2,0.481,0.473,87.2,86.9,42,41.1,0.739,0.768,26.6,31.4,19.7,24.1,82,82,240.9,240.9,13.9,12.8,26,23.3,103.9,107.2,21,7,8,9.1,18.5,16,45.7,43,Indiana Pacers,Indiana Pacers,1986
