Rank,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Year
1,Boston Celtics,E,A,67,15,0.8170000000000001,9.41,112.4,103.16,9.24,9.06,112.54,103.67,8.87,1986
2,Milwaukee Bucks,E,C,57,25,0.695,9.04,112.05,103.09,8.95,8.69,112.17,103.58,8.59,1986
3,Los Angeles Lakers,W,P,62,20,0.7559999999999999,7.74,113.69,106.38,7.32,6.84,113.18,106.72,6.47,1986
4,Atlanta Hawks,E,C,50,32,0.61,2.37,108.43,106.06,2.36,2.59,108.76,106.19,2.57,1986
5,Philadelphia 76ers,E,A,54,28,0.659,2.35,109.01,106.81,2.21,2.47,109.38,107.07,2.3,1986
6,Houston Rockets,W,M,51,31,0.622,2.61,110.42,107.9,2.53,2.11,110.06,108.01,2.05,1986
7,Detroit Pistons,E,C,46,36,0.561,1.17,109.46,108.24,1.22,1.44,109.92,108.45,1.47,1986
8,Dallas Mavericks,W,M,44,38,0.537,1.1,112.55,111.3,1.25,0.7,112.45,111.59,0.86,1986
9,Denver Nuggets,W,M,47,35,0.573,1.3,107.64,106.53,1.11,0.89,107.16,106.43,0.73,1986
10,Portland Trail Blazers,W,P,40,42,0.488,1.06,109.44,108.39,1.05,0.61,109.06,108.43,0.63,1986
11,Seattle SuperSonics,W,P,31,51,0.37799999999999995,-0.1,106.24,106.41,-0.18,-0.47,105.69,106.21,-0.52,1986
12,Utah Jazz,W,M,42,40,0.512,-0.37,104.62,105.01,-0.39,-0.67,104.01,104.68,-0.66,1986
13,New Jersey Nets,E,A,39,43,0.47600000000000003,-1.99,105.46,107.28,-1.82,-1.39,105.94,107.21,-1.26,1986
14,Washington Bullets,E,A,39,43,0.47600000000000003,-1.8,103.35,105.25,-1.9,-1.28,103.68,105.07,-1.39,1986
15,San Antonio Spurs,W,M,35,47,0.42700000000000005,-1.85,106.99,108.8,-1.8,-2.05,106.68,108.66,-1.98,1986
16,Cleveland Cavaliers,E,C,29,53,0.354,-2.87,105.87,108.69,-2.82,-2.19,106.37,108.53,-2.17,1986
17,Indiana Pacers,E,C,26,56,0.317,-3.33,103.07,106.3,-3.23,-2.66,103.43,106.03,-2.59,1986
18,Phoenix Suns,W,P,32,50,0.39,-2.99,104.82,107.47,-2.65,-3.16,104.34,107.16,-2.82,1986
19,Sacramento Kings,W,M,37,45,0.451,-3.07,106.57,109.54,-2.97,-3.19,106.31,109.38,-3.07,1986
